sentiment_class,rank,term,mean_tfidf
positive,1,psx,0.04456567294589535
positive,2,account,0.044096165051038846
positive,3,pkr,0.041947236265591756
positive,4,invest,0.04193252709786171
positive,5,pakistan,0.04131591564043163
positive,6,stocks,0.03935161942099757
positive,7,like,0.036164898351554196
positive,8,want,0.033971070250469006
positive,9,market,0.03300760259032056
positive,10,investing,0.03255719635836344
positive,11,stock,0.03193930294243881
positive,12,just,0.03141690515293611
positive,13,funds,0.030185893448601855
positive,14,shares,0.029227458550782258
positive,15,need,0.02912884740996629
positive,16,money,0.02884043752716644
positive,17,investment,0.028577826432843574
positive,18,good,0.02793525697419671
positive,19,month,0.027464489926780643
positive,20,portfolio,0.026898084896472017
negative,1,pakistan,0.06063597869419207
negative,2,psx,0.040908143191118046
negative,3,people,0.03788056841142079
negative,4,just,0.035482515047095424
negative,5,market,0.035404504192048526
negative,6,account,0.034862393946712866
negative,7,pkr,0.03435384318449357
negative,8,iran,0.031961041090206595
negative,9,war,0.029626037512827434
negative,10,like,0.02865307249622135
negative,11,money,0.028310237659338152
negative,12,don,0.02806372435389502
negative,13,country,0.026068112641422916
negative,14,invest,0.024566360045175917
negative,15,funds,0.024231734504384192
negative,16,know,0.024211314628641654
negative,17,need,0.023065530461895686
negative,18,time,0.022363836865290088
negative,19,bank,0.02217758311179906
negative,20,economy,0.02173643358394842
neutral,1,psx,0.09411892472210855
neutral,2,pkr,0.058899955702909235
neutral,3,pakistan,0.04690555832247619
neutral,4,market,0.03881815976771171
neutral,5,stock,0.03594639695160247
neutral,6,100,0.029481284468689476
neutral,7,invest,0.028877626017567947
neutral,8,stock market,0.028349015388216055
neutral,9,portfolio,0.02757348572896507
neutral,10,need,0.02729886258077814
neutral,11,ogdc,0.026041173989173244
neutral,12,advice,0.025384958213519982
neutral,13,petrol,0.0250790701355221
neutral,14,account,0.022430676678029792
neutral,15,tax,0.021160988470794645
neutral,16,fbr,0.02046109211258347
neutral,17,kse,0.01922813030781663
neutral,18,thoughts,0.018735798957369005
neutral,19,kse 100,0.018362497666662807
neutral,20,month,0.018326915458762007
