date,post_count,score_mean,score_sum,comms_num_sum,is_wsb_noise_mean,word_count_mean
2020-09-29,1,4.0,4,11,0.0,102.0
2021-01-28,62,312.48387096774195,19374,2489,0.20967741935483872,144.08064516129033
2021-01-29,110,785.4545454545455,86400,4918,0.12727272727272726,192.55454545454546
2021-01-30,37,3133.4594594594596,115938,38619,0.3783783783783784,558.6486486486486
2021-01-31,31,2510.967741935484,77840,8915,0.3870967741935484,507.6774193548387
2021-02-01,18,3422.6111111111113,61607,3371,0.16666666666666666,506.3888888888889
2021-02-02,30,396.1666666666667,11885,1551,0.3,487.76666666666665
2021-02-03,32,4034.53125,129105,11160,0.25,345.28125
2021-02-04,28,991.0714285714286,27750,2448,0.35714285714285715,311.75
2021-02-05,69,287.07246376811594,19808,2301,0.36231884057971014,225.04347826086956
2021-02-06,45,110.88888888888889,4990,1421,0.28888888888888886,350.5111111111111
2021-02-07,20,2414.15,48283,3035,0.4,522.85
2021-02-08,14,960.5,13447,2854,0.14285714285714285,415.07142857142856
2021-02-09,6,2209.6666666666665,13258,2683,0.6666666666666666,1326.5
2021-02-10,17,3661.235294117647,62241,10602,0.5882352941176471,521.3529411764706
2021-02-11,13,1780.076923076923,23141,6126,0.38461538461538464,971.7692307692307
2021-02-12,11,3517.818181818182,38696,6454,0.36363636363636365,594.9090909090909
2021-02-13,17,285.4117647058824,4852,2743,0.35294117647058826,672.1764705882352
2021-02-14,18,1021.1111111111111,18380,4500,0.16666666666666666,785.7222222222222
2021-02-15,14,483.14285714285717,6764,3980,0.42857142857142855,771.9285714285714
2021-02-16,11,4333.090909090909,47664,3729,0.45454545454545453,1559.909090909091
2021-02-17,16,2491.5,39864,1710,0.3125,586.75
2021-02-18,11,786.1818181818181,8648,1093,0.0,634.2727272727273
2021-02-19,8,376.125,3009,602,0.125,408.75
2021-02-20,9,235.55555555555554,2120,647,0.0,342.0
2021-02-21,12,87.75,1053,1030,0.4166666666666667,267.8333333333333
2021-02-22,11,452.1818181818182,4974,2147,0.09090909090909091,736.9090909090909
2021-02-23,16,420.25,6724,1803,0.3125,593.625
2021-02-24,17,438.70588235294116,7458,1832,0.23529411764705882,475.05882352941177
2021-02-25,19,1103.7368421052631,20971,2752,0.3684210526315789,888.1052631578947
2021-02-26,17,1087.6470588235295,18490,1405,0.35294117647058826,590.2941176470588
2021-02-27,6,4313.333333333333,25880,899,0.3333333333333333,966.1666666666666
2021-02-28,8,142.5,1140,369,0.625,1113.125
2021-03-01,9,1038.0,9342,2400,0.2222222222222222,557.8888888888889
2021-03-02,4,721.0,2884,557,0.5,482.25
2021-03-03,17,288.5882352941176,4906,1334,0.23529411764705882,378.29411764705884
2021-03-04,21,79.14285714285714,1662,931,0.14285714285714285,206.0
2021-03-05,27,245.77777777777777,6636,2085,0.18518518518518517,370.6666666666667
2021-03-06,22,301.40909090909093,6631,1868,0.09090909090909091,203.36363636363637
2021-03-07,15,420.73333333333335,6311,1573,0.4666666666666667,559.2666666666667
2021-03-08,7,817.8571428571429,5725,1243,0.42857142857142855,410.57142857142856
2021-03-09,8,119.125,953,419,0.0,390.75
2021-03-10,29,1659.6896551724137,48131,2044,0.27586206896551724,121.13793103448276
2021-03-11,11,899.0909090909091,9890,725,0.36363636363636365,345.3636363636364
2021-03-12,8,43.625,349,148,0.375,570.375
2021-03-13,9,499.3333333333333,4494,1034,0.5555555555555556,649.7777777777778
2021-03-14,6,3421.8333333333335,20531,1023,0.5,1202.6666666666667
2021-03-15,8,659.125,5273,1029,0.25,913.375
2021-03-16,10,2952.3,29523,1731,0.6,686.3
2021-03-17,7,156.85714285714286,1098,329,0.2857142857142857,319.2857142857143
2021-03-18,5,215.8,1079,437,0.6,1252.6
2021-03-19,5,205.4,1027,492,0.4,590.0
2021-03-20,3,1640.6666666666667,4922,944,0.0,183.0
2021-03-21,5,441.6,2208,1306,0.4,665.0
2021-03-22,11,2331.181818181818,25643,3387,0.18181818181818182,972.5454545454545
2021-03-23,5,10972.8,54864,1200,0.0,937.6
2021-03-24,4,281.0,1124,443,0.25,599.5
2021-03-25,7,104.57142857142857,732,348,0.42857142857142855,601.4285714285714
2021-03-26,6,119.5,717,183,0.16666666666666666,509.5
2021-03-27,5,128.4,642,444,0.0,479.2
2021-03-28,4,597.5,2390,459,0.0,1155.25
2021-03-29,4,394.25,1577,591,0.25,760.0
